sales_date;sku_id;store_id;sales_count;price;promo
2024-10-14 00:00:00;1013;2;15;47339;FALSE
2024-09-26 00:00:00;1056;1;19;27313;TRUE
2024-01-17 00:00:00;1047;3;26;28640;FALSE
2024-06-18 00:00:00;1052;1;17;46940;TRUE
2024-06-21 00:00:00;1033;4;3;38922;FALSE
2024-06-04 00:00:00;1016;1;28;17679;TRUE
2024-06-26 00:00:00;1089;4;11;41365;FALSE
2024-01-12 00:00:00;1031;2;5;14667;FALSE
2024-06-23 00:00:00;1045;4;7;4624;FALSE
2024-04-09 00:00:00;1080;5;5;26582;TRUE
2024-08-09 00:00:00;1013;1;12;39454;FALSE
2024-07-14 00:00:00;1056;1;26;3736;TRUE
2024-05-14 00:00:00;1013;4;24;4622;TRUE
2024-10-13 00:00:00;1030;2;15;7635;TRUE
2024-04-10 00:00:00;1003;5;15;8886;TRUE
2024-01-06 00:00:00;1025;4;24;45837;TRUE
2024-09-19 00:00:00;1073;4;13;10999;TRUE
2024-04-06 00:00:00;1070;1;17;16219;TRUE
2024-05-17 00:00:00;1024;3;26;34802;TRUE
2024-09-10 00:00:00;1041;4;30;49842;FALSE
2024-09-14 00:00:00;1094;3;4;4637;FALSE
2024-06-07 00:00:00;1003;5;1;3608;TRUE
2024-01-02 00:00:00;1037;4;3;13169;TRUE
2024-05-05 00:00:00;1092;4;3;31838;FALSE
2024-05-21 00:00:00;1067;1;1;37671;FALSE
2024-08-17 00:00:00;1037;1;29;2454;FALSE
2024-02-19 00:00:00;1028;2;4;28106;TRUE
2024-05-07 00:00:00;1026;5;11;31804;FALSE
2024-08-31 00:00:00;1007;3;30;48475;FALSE
2024-02-13 00:00:00;1004;1;19;20320;TRUE
2024-10-23 00:00:00;1046;2;19;26101;FALSE
2024-02-27 00:00:00;1049;3;25;38906;TRUE
2024-05-09 00:00:00;1066;1;30;5120;TRUE
2024-05-31 00:00:00;1094;2;30;14799;FALSE
2024-04-29 00:00:00;1004;3;15;46268;TRUE
2024-04-27 00:00:00;1043;4;25;32479;FALSE
2024-07-15 00:00:00;1062;1;16;20839;TRUE
2024-01-27 00:00:00;1089;1;11;22238;TRUE
2024-08-15 00:00:00;1032;5;9;28960;FALSE
2024-01-30 00:00:00;1089;2;7;47733;TRUE
2024-07-23 00:00:00;1031;1;12;7872;FALSE
2024-07-07 00:00:00;1097;2;7;22149;TRUE
2024-10-07 00:00:00;1073;4;30;23725;FALSE
2024-10-08 00:00:00;1098;1;2;41044;FALSE
2024-09-06 00:00:00;1071;4;21;20619;TRUE
2024-04-04 00:00:00;1020;5;24;19185;FALSE
2024-09-04 00:00:00;1099;1;8;46047;TRUE
